State,2019,2020,2021,2022,2023
NSW,222,222,222,223,226
VIC,154,155,155,158,159
QLD,123,124,123,123,123
WA,88,88,88,88,89
SA,75,75,76,75,75
TAS,24,24,24,24,23
ACT,3,3,3,3,3
NT,6,6,6,6,6
