State,2019,2020,2021,2022,2023
NSW,20722,20787,20623,21207,21238
VIC,14949,14913,14871,15380,15856
QLD,12889,13032,13142,13344,14021
WA,6034,6243,6356,6676,6871
SA,4532,4514,4517,4493,5180
TAS,1472,1583,1656,1671,1712
ACT,1151,1189,1207,1233,
NT,977,1072,1072,1046,1057
